Restrictiveness;NGram;Score
1;1;0,008077544
1;2;0,025307303
1;3;0,042337003
1;4;0,058641975
1;5;0,071012806
1;6;0,076441103
1;7;0,093659942
1;8;0,097633136
1;9;0,098310292
2;1;0,027860697
2;2;0,35483871
2;3;0,509933775
2;4;0,580152672
2;5;0,634782609
2;6;0,589147287
2;7;0,582677165
2;8;0,731481481
2;9;0,644067797
3;1;0,078402367
3;2;0,783505155
3;3;0,895348837
3;4;0,916666667
3;5;0,913580247
3;6;0,891566265
3;7;0,872093023
3;8;0,891566265
3;9;0,915662651
4;1;0,129511677
4;2;0,925925926
4;3;0,888888889
4;4;0,95
4;5;0,9
4;6;0,925
4;7;0,9125
4;8;0,9125
4;9;0,9125
5;1;0,201780415
5;2;0,9125
5;3;0,9
5;4;0,95
5;5;0,87654321
5;6;0,8875
5;7;0,9
5;8;0,8875
5;9;0,864197531
6;1;0,267924528
6;2;0,9125
6;3;0,875
6;4;0,9125
6;5;0,875
6;6;0,8625
6;7;0,8875
6;8;0,8625
6;9;0,8625
7;1;0,3125
7;2;0,9125
7;3;0,875
7;4;0,9
7;5;0,85
7;6;0,825
7;7;0,8375
7;8;0,85
7;9;0,839506173
8;1;0,322580645
8;2;0,9
8;3;0,8375
8;4;0,8875
8;5;0,825
8;6;0,8125
8;7;0,8375
8;8;0,8375
8;9;0,85
9;1;0,359375
9;2;0,8625
9;3;0,8125
9;4;0,865853659
9;5;0,790123457
9;6;0,7875
9;7;0,7875
9;8;0,7875
9;9;0,8375
10;1;0,346733668
10;2;0,8625
10;3;0,775
10;4;0,875
10;5;0,7375
10;6;0,775
10;7;0,775
10;8;0,775
10;9;0,775
11;1;0,401129944
11;2;0,8625
11;3;0,775
11;4;0,8625
11;5;0,716049383
11;6;0,7375
11;7;0,75308642
11;8;0,75
11;9;0,7375
12;1;0,404624277
12;2;0,85
12;3;0,75
12;4;0,839506173
12;5;0,7
12;6;0,695121951
12;7;0,7625
12;8;0,7375
12;9;0,703703704
13;1;0,449367089
13;2;0,8375
13;3;0,75
13;4;0,8375
13;5;0,7
13;6;0,7
13;7;0,7375
13;8;0,725
13;9;0,6875
14;1;0,4375
14;2;0,8375
14;3;0,7125
14;4;0,8375
14;5;0,6875
14;6;0,6875
14;7;0,7375
14;8;0,725
14;9;0,675
15;1;0,518796992
15;2;0,8125
15;3;0,7125
15;4;0,8
15;5;0,675
15;6;0,6625
15;7;0,6875
15;8;0,725
15;9;0,6625
16;1;0,518796992
16;2;0,8
16;3;0,691358025
16;4;0,8
16;5;0,666666667
16;6;0,65
16;7;0,675
16;8;0,725
16;9;0,6625
17;1;0,648148148
17;2;0,7875
17;3;0,6875
17;4;0,8
17;5;0,65
17;6;0,6375
17;7;0,6625
17;8;0,7125
17;9;0,65
18;1;0,627272727
18;2;0,7875
18;3;0,675
18;4;0,775
18;5;0,625
18;6;0,62962963
18;7;0,62962963
18;8;0,675
18;9;0,6375
19;1;0,760869565
19;2;0,775
19;3;0,675
19;4;0,75
19;5;0,625
19;6;0,625
19;7;0,625
19;8;0,6625
19;9;0,625
